[2016-08-01T12:42:10+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-01T12:42:10+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-01T12:42:57+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-01T12:42:57+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-01T12:56:44+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-01T12:56:44+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-01T12:57:44+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-01T12:57:44+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-01T15:04:48+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-01T15:04:48+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-03T18:46:34+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-03T18:46:34+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-04T17:46:08+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-04T17:46:08+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-05T00:01:38+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-05T00:06:35+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2016-08-05T00:09:01+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-05T00:13:47+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-05T00:22:26+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-05T00:22:26+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-05T07:29:36+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-05T07:29:37+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-05T13:09:55+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-05T13:09:55+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
