[2016-08-06T00:16:55+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2016-08-06T00:17:11+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-06T07:34:22+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-06T07:47:23+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-06T12:36:13+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-06T12:36:13+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-06T18:14:07+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-06T18:14:07+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-07T22:19:47+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-07T22:19:47+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-09T20:47:54+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
